Date,Open,High,Low,Close,Volume,Daily Return (%),Trading Range,Log Return,Volume × Price
2019-03-27 00:00:00+00:00,1.012513995,1.019659042,1.011054039,1.016144037,37698423,36%,0.008605003,0.003584652,38307027.74
2019-03-28 00:00:00+00:00,1.016435027,1.020601034,1.006386995,1.013795018,28392576,-23%,0.014214039,-0.002314375,28784252.1
2019-03-29 00:00:00+00:00,1.013795018,1.015089035,0.998833001,1.002529025,37377861,-111%,0.016256034,-0.0111749,37472390.54
2019-03-30 00:00:00+00:00,1.000946999,1.049149036,0.992955029,1.001989961,26227081,-5%,0.056194007,-0.000537849,26279271.87
2019-03-31 00:00:00+00:00,1.001989961,1.008056998,0.998965025,1.00149405,24262615,-5%,0.009091973,-0.000495049,24298864.56
2019-04-01 00:00:00+00:00,1.001394033,1.005910039,0.994118989,1.002632976,30912903,11%,0.01179105,0.001136581,30994295.93
2019-04-02 00:00:00+00:00,1.002338052,1.022609949,0.993830025,1.001929998,75355543,-7%,0.028779924,-0.000701378,75500979.05
2019-04-03 00:00:00+00:00,1.001950026,1.024855018,0.989149988,1.000928998,87987040,-10%,0.03570503,-0.000999571,88068779.78
2019-04-04 00:00:00+00:00,1.00098002,1.006989956,0.997175992,1.002344966,52686902,14%,0.009813964,0.001413654,52810450.99
2019-04-05 00:00:00+00:00,1.002702951,1.009742022,1.000149965,1.002799034,43799308,5%,0.009592057,0.000452903,43921903.75
2019-04-06 00:00:00+00:00,1.003229976,1.011862993,0.997350991,1.001001954,43756481,-18%,0.014512002,-0.001793672,43800322.98
2019-04-07 00:00:00+00:00,1.000422001,1.013262987,0.998052001,1.005359054,43184042,44%,0.015210986,0.004343293,43415467.61
2019-04-08 00:00:00+00:00,1.005748987,1.008036971,0.993659973,1.002128005,49978405,-32%,0.014376998,-0.003219001,50084759.3
2019-04-09 00:00:00+00:00,1.002128005,1.004022956,0.996617019,1.001181006,40372954,-9%,0.007405937,-0.000945435,40420634.7
2019-04-10 00:00:00+00:00,1.000972986,1.014706016,0.995966971,1.001379013,48590445,2%,0.018739045,0.000197754,48657451.86
2019-04-11 00:00:00+00:00,1.001674056,1.005681992,0.997779012,1.002825975,63695457,14%,0.00790298,0.001443926,63875458.77
2019-04-12 00:00:00+00:00,1.002578974,1.00583303,0.998884022,1.002897978,44545387,1%,0.006949008,7.17975E-05,44674478.55
2019-04-13 00:00:00+00:00,1.003026009,1.00611496,1.000305057,1.004066944,35520365,12%,0.005809903,0.001164909,35664824.34
2019-04-14 00:00:00+00:00,1.004066944,1.009899974,0.999414027,1.00802505,31692818,39%,0.010485947,0.003934324,31947154.45
2019-04-15 00:00:00+00:00,1.00802505,1.009677052,0.995658994,0.998979986,44283943,-90%,0.014018058,-0.009013555,44238772.76
2019-04-16 00:00:00+00:00,0.999090016,1.013753057,0.997579992,1.010408044,31481366,114%,0.016173065,0.011374788,31809025.44
2019-04-17 00:00:00+00:00,1.011734009,1.014480948,1.001948953,1.005684018,32737398,-47%,0.012531995,-0.004686328,32923477.96
2019-04-18 00:00:00+00:00,1.005480051,1.007622957,1.000257969,1.002645016,41597044,-30%,0.007364988,-0.003026401,41707068.85
2019-04-19 00:00:00+00:00,1.00355804,1.00523901,0.997391999,1.002629042,34134430,0%,0.007847011,-1.5932E-05,34224170.85
2019-04-20 00:00:00+00:00,1.002941966,1.005642056,0.996161997,1.000969052,39216250,-17%,0.009480059,-0.001657009,39254252.59
2019-04-21 00:00:00+00:00,1.001430035,1.007246971,0.994410992,1.002082944,46250000,11%,0.012835979,0.001112195,46346336.16
2019-04-22 00:00:00+00:00,1.00206995,1.008206964,0.996921003,1.003837943,46697245,18%,0.011285961,0.001749819,46876466.36
2019-04-23 00:00:00+00:00,1.003561974,1.005401015,0.994679987,0.999439001,55954909,-44%,0.010721028,-0.004391753,55923518.35
2019-04-24 00:00:00+00:00,0.999439001,1.004547954,0.991964996,0.998930991,56853285,-5%,0.012582958,-0.000508424,56792508.33
2019-04-25 00:00:00+00:00,0.998736978,1.017526984,0.996013999,1.007150054,82371631,82%,0.021512985,0.008194194,82960592.61
